,grams,kJ,fibre,fat,protein,carb total,sugar,calcium,magnesium,phosphorus,potassium,sodium,Caffeine,water,other,Carb/Weight,C/(F+P+C)
water (1 L),1000,0,0,0,0,0,0,0,0,0,0,0,0,1000,,0,#DIV/0!
Tailwind (500mL),500,835,0,0,0,50,50,52,28,0,176,606,0,500,,0.1,1
Gatorade (600mL),600,601.2,0,0,0,36,36,0,0,0,135,306,0,600,,0.06,1
Maximus (500mL),500,661.32,0,0,0,37.6,30,0,0,0,0,156,0,500,,0.08,1
coke (500mL),500,900,0,0,0,53,53,0,0,0,0,50,50,500,,0.11,1
ginger ale (500mL),500,670,0,0,0,38,38,0,0,0,0,50,,500,,0.08,1
SaltStick Caps PLUS 100,,0,0,0,0,0,0,28,14,0,106,380,60,0,,#DIV/0!,#DIV/0!
SaltStick Caps 100,,0,0,0,0,0,0,44,22,0,126,430,0,0,,#DIV/0!,#DIV/0!
Banana,116,430.36,3.016,0.3828,1.2644,27,14,5.9,31.32,25.52,415.28,1.16,,84.3368,manganese,0.23,0.94
Blueberries,100,240,2.4,0.33,0.74,14.2,10,6,6,12,77,1,,82.33,manganese,0.14,0.93
Winners,45,495,0,0,0,29.8,28,0,0,0,16,36,,0,,0.66,1
Jamwich,108,1270.8,0,6.54,7.44,51.88,18.6,0,0,0,0.6,312.8,0,0,,0.48,0.79
Vegemite Sandwich,83,977.8,0.4,6.54,8.64,32.88,0.6,0,0,0,0.6,475.8,0,0,,0.4,0.68
Avacado Sandwich,111,940.8,4.29,16.11,8.76,38.49,1.062,7.92,0,0,322.284,315.42,0,0,,0.35,0.61
"brekky (3 bix, yoghurt)",,,,,,,,,,,,,,0,,#DIV/0!,#DIV/0!
chips,19,435,0.6,6.6,1.3,9.6,0.2,,,,,87,,0,,0.51,0.55
oreo minis,20.4,422,,4.2,0,14.5,7.7,,,,,108,,0,,0.71,0.78
shapes mini,25,513,0.9,5.6,1.9,15.7,0.2,,,,,172,,0,,0.63,0.68
clif bar,68,1090,5.4,6.1,10.2,37.9,17.4,,58,175,258,131,,0,,0.56,0.7
2 allens snakes,25,350,,1,1.1,19.3,10.9,,,,,25,,0,,0.77,0.9
(4pcs) Dark Choc + Almonds Aldi ,40,,,15,5,17,15,80,,,,30,,0,,0.43,0.46
Muesli bars,53.125,555.485,3.075,11.82506199,3.170364692,27.52172938,15.74745093,19.01191783,12.895,19.905,135.3238429,29.52013889,0,0,,0.52,0.65
corn nuts,50,999,,8.35,4.45,34.55,0.25,,,,,527.5,,0,,0.69,0.73
unc toby protein bar,35,584,3.2,4.4,7,15.5,4.8,,,,,58,,0,,0.44,0.58
mandarin,90,159,1.8,0.2,0.8,7.2,7.2,,,,,2,,80,,0.08,0.88
Up&Go choc,250,842,2.5,4.2,18,21.2,16.8,,,,,225,,204.1,,0.08,0.49
carmans protein salted dark choc & almond,40,796,3.6,11.1,10.4,10.6,5.9,,,,,151,,0,,0.27,0.33
Golden Circle Fruit Puree,120,330,,0.2,0.4,17,14.5,,,,,8,,102.4,,0.14,0.97
Boiled Fruit cake,57.06,135.6,0.663632727,4.147966364,2.095971212,34.6114,22.66772455,43.26258182,0,0,213.3950933,90.33222222,,0,,0.61,0.85
unc toby chewy apricot bar,31.3,490,3.6,2.8,2.2,18.7,4.9,,,,,5,,0,,0.6,0.79
iced donut (woolies),60,848,0.7,8.2,2,29.5,18.4,,,,,231,,0,,0.49,0.74
4hr fuel,200,3386.5,0.951,1.557,19.663,174.473,39.886,9.13,2.91,0,41.28,307.03,0,0,,0.87,0.89
Tiny Teddy,25,455,1.3,3.2,1.5,17.8,6.4,,,,,75,,0,,0.71,0.79
Apple,150,300,3.3,0.23,0.36,19.06,14.34,,,,148,1,,127.05,,0.13,0.97
Zooper Dooper,70,178,0,0,0,11.3,11.1,0,0,0,0,14,,58.7,,0.16,1
Mother Earth Golden Baked Oaty Slice Raspberry Chocolate,40,724,2.5,7.8,3,21,11.1,,,,,93,,0,,0.53,0.66
Tuna mexican rice,170,1270,5.9,13.3,12.2,30.6,4.6,,,,,816,,,,0.18,0.55
4hr fuel w water,200,3386.5,0.951,1.557,19.663,174.473,39.886,9.13,2.91,0,41.28,307.03,0,400,,0.87,0.89
Heinz Spag Meatball,420,1638,5,9.6,14.8,58,20.2,,,,,1492,,332.6,,0.14,0.7
unc toby strawberry bar,31.3,510,3.3,3.5,2.2,18.7,5.8,,,,,6,,0,,0.6,0.77
Heinz BB Sausage,420,1996,18,13,24.4,56.8,27.2,,,,,1784,,307.8,,0.14,0.6
Heinz Spag,300,824,0,0.6,6.4,38,10.2,,,,,870,,255,,0.13,0.84
